index,candidate_id,backend,image_path,ori_image,target_image,cos_sim
751,0,inswapper,,,,0.856403
752,0,inswapper,,,,0.930043
753,0,inswapper,,,,0.887133
754,0,inswapper,,,,0.708488
755,0,inswapper,,,,0.902386
756,0,inswapper,,,,0.910514
757,0,inswapper,,,,0.906501
758,0,inswapper,,,,0.897150
759,0,inswapper,,,,0.863343
760,0,inswapper,,,,0.879517
761,0,inswapper,,,,0.904807
762,0,inswapper,,,,0.900276
763,0,inswapper,,,,0.916426
764,0,inswapper,,,,0.904389
765,0,inswapper,,,,0.888059
766,0,inswapper,,,,0.913357
767,0,inswapper,,,,0.821196
768,0,inswapper,,,,0.847451
769,0,inswapper,,,,0.908520
770,0,inswapper,,,,0.905977
771,0,inswapper,,,,0.903085
772,0,inswapper,,,,0.873682
773,0,inswapper,,,,0.902221
774,0,inswapper,,,,0.829580
775,0,inswapper,,,,0.907710
776,0,inswapper,,,,0.903421
777,0,inswapper,,,,0.897101
778,0,inswapper,,,,0.868040
779,0,inswapper,,,,0.908788
780,0,inswapper,,,,0.870849
782,0,inswapper,,,,0.912750
783,0,inswapper,,,,0.895629
784,0,inswapper,,,,0.887638
785,0,inswapper,,,,0.876545
786,0,inswapper,,,,0.871431
787,0,inswapper,,,,0.886993
788,0,inswapper,,,,0.916042
789,0,inswapper,,,,0.892296
790,0,inswapper,,,,0.915370
791,0,inswapper,,,,0.885377
792,0,inswapper,,,,0.889839
793,0,inswapper,,,,0.891170
794,0,inswapper,,,,0.920663
795,0,inswapper,,,,0.821136
796,0,inswapper,,,,0.906170
797,0,inswapper,,,,0.906559
798,0,inswapper,,,,0.914671
799,0,inswapper,,,,0.909209
800,0,inswapper,,,,0.893443
801,0,inswapper,,,,0.905518
802,0,inswapper,,,,0.912194
803,0,inswapper,,,,0.895815
804,0,inswapper,,,,0.923694
805,0,inswapper,,,,0.869922
806,0,inswapper,,,,0.837683
807,0,inswapper,,,,0.885180
808,0,inswapper,,,,0.897581
809,0,inswapper,,,,0.820375
810,0,inswapper,,,,0.843871
811,0,inswapper,,,,0.917735
812,0,inswapper,,,,0.893133
813,0,inswapper,,,,0.925788
815,0,inswapper,,,,0.899045
816,0,inswapper,,,,0.908709
817,0,inswapper,,,,0.915007
818,0,inswapper,,,,0.890362
819,0,inswapper,,,,0.884633
820,0,inswapper,,,,0.848283
821,0,inswapper,,,,0.905425
822,0,inswapper,,,,0.903287
823,0,inswapper,,,,0.911555
824,0,inswapper,,,,0.910772
825,0,inswapper,,,,0.857696
826,0,inswapper,,,,0.883189
827,0,inswapper,,,,0.899270
828,0,inswapper,,,,0.845823
829,0,inswapper,,,,0.819878
830,0,inswapper,,,,0.854842
831,0,inswapper,,,,0.855695
832,0,inswapper,,,,0.885255
833,0,inswapper,,,,0.872389
834,0,inswapper,,,,0.890022
835,0,inswapper,,,,0.879713
836,0,inswapper,,,,0.889100
837,0,inswapper,,,,0.912659
838,0,inswapper,,,,0.893486
839,0,inswapper,,,,0.881601
840,0,inswapper,,,,0.906969
841,0,inswapper,,,,0.902002
842,0,inswapper,,,,0.889734
843,0,inswapper,,,,0.910280
844,0,inswapper,,,,0.695646
845,0,inswapper,,,,0.915045
846,0,inswapper,,,,0.855146
847,0,inswapper,,,,0.916062
849,0,inswapper,,,,0.851478
850,0,inswapper,,,,0.872310
851,0,inswapper,,,,0.877549
852,0,inswapper,,,,0.890123
853,0,inswapper,,,,0.855051
854,0,inswapper,,,,0.899034
855,0,inswapper,,,,0.838383
856,0,inswapper,,,,0.892766
857,0,inswapper,,,,0.847098
858,0,inswapper,,,,0.861835
859,0,inswapper,,,,0.904014
860,0,inswapper,,,,0.904773
861,0,inswapper,,,,0.890542
862,0,inswapper,,,,0.855296
863,0,inswapper,,,,0.880883
864,0,inswapper,,,,0.866364
865,0,inswapper,,,,0.909845
866,0,inswapper,,,,0.865806
867,0,inswapper,,,,0.871922
868,0,inswapper,,,,0.868963
869,0,inswapper,,,,0.912990
870,0,inswapper,,,,0.887660
871,0,inswapper,,,,0.878585
872,0,inswapper,,,,0.870050
873,0,inswapper,,,,0.898516
874,0,inswapper,,,,0.894699
875,0,inswapper,,,,0.851427
876,0,inswapper,,,,0.855667
877,0,inswapper,,,,0.882870
878,0,inswapper,,,,0.872143
879,0,inswapper,,,,0.866882
880,0,inswapper,,,,0.825325
881,0,inswapper,,,,0.872358
